Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,02/10/2026,08:55,02/10/2026,08:58,WB1: POF | Orb: 0.62° | Duration: 3m,3m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,02/10/2026,18:59,02/10/2026,19:08,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-002,Western Transits,#FFA500
WB1 POF,02/11/2026,09:17,02/11/2026,09:21,WB1: POF | Orb: 0.64° | Duration: 4m,4m,WB1-POF-003,Western Transits,#FFA500
WB1 POF,02/11/2026,18:02,02/11/2026,18:11,WB1: POF | Orb: 0.99° | Duration: 9m,9m,WB1-POF-004,Western Transits,#FFA500
WB1 POF,02/12/2026,09:40,02/12/2026,09:44,WB1: POF | Orb: 0.88° | Duration: 4m,4m,WB1-POF-005,Western Transits,#FFA500
WB1 POF,02/12/2026,17:05,02/12/2026,17:14,WB1: POF | Orb: 0.85° | Duration: 9m,9m,WB1-POF-006,Western Transits,#FFA500
WB1 POF,02/13/2026,10:06,02/13/2026,10:11,WB1: POF | Orb: 0.94° | Duration: 5m,5m,WB1-POF-007,Western Transits,#FFA500
WB1 POF,02/13/2026,16:06,02/13/2026,16:15,WB1: POF | Orb: 0.95° | Duration: 9m,9m,WB1-POF-008,Western Transits,#FFA500
WB1 POF,02/14/2026,10:36,02/14/2026,10:42,WB1: POF | Orb: 0.92° | Duration: 6m,6m,WB1-POF-009,Western Transits,#FFA500
WB1 POF,02/15/2026,11:11,02/15/2026,11:17,WB1: POF | Orb: 0.89° | Duration: 6m,6m,WB1-POF-010,Western Transits,#FFA500
WB1 POF,02/16/2026,11:52,02/16/2026,11:59,WB1: POF | Orb: 0.91° | Duration: 7m,7m,WB1-POF-011,Western Transits,#FFA500
WB1 POF,02/17/2026,12:40,02/17/2026,12:48,WB1: POF | Orb: 0.88° | Duration: 8m,8m,WB1-POF-012,Western Transits,#FFA500
WB1 POF,02/18/2026,13:34,02/18/2026,13:43,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-013,Western Transits,#FFA500
WB1 POF,02/19/2026,14:34,02/19/2026,14:44,WB1: POF | Orb: 0.96° | Duration: 10m,10m,WB1-POF-014,Western Transits,#FFA500
WB1 TRANSIT_YOGI,02/24/2026,09:04,02/24/2026,12:13,WB1: TRANSIT_YOGI | Orb: 1.00° | Duration: 189m,189m,WB1-TRANSIT_YOGI-015,Western Transits,#FFA500
WB1 MOON,02/27/2026,13:14,02/27/2026,16:38,WB1: MOON | Orb: 1.00° | Duration: 204m,204m,WB1-MOON-016,Western Transits,#FFA500
WB1 POF,02/28/2026,05:06,02/28/2026,05:11,WB1: POF | Orb: 0.87° | Duration: 5m,5m,WB1-POF-017,Western Transits,#FFA500
WB1 POF,03/01/2026,04:21,03/01/2026,04:27,WB1: POF | Orb: 0.93° | Duration: 6m,6m,WB1-POF-018,Western Transits,#FFA500
WB1 POF,03/02/2026,03:32,03/02/2026,03:38,WB1: POF | Orb: 0.83° | Duration: 6m,6m,WB1-POF-019,Western Transits,#FFA500
WB1 POF,03/03/2026,02:38,03/03/2026,02:45,WB1: POF | Orb: 0.91° | Duration: 7m,7m,WB1-POF-020,Western Transits,#FFA500
WB1 POF,03/04/2026,01:41,03/04/2026,01:49,WB1: POF | Orb: 0.88° | Duration: 8m,8m,WB1-POF-021,Western Transits,#FFA500
WB1 POF,03/05/2026,00:42,03/05/2026,00:50,WB1: POF | Orb: 0.84° | Duration: 8m,8m,WB1-POF-022,Western Transits,#FFA500
WB1 POF,03/05/2026,23:42,03/05/2026,23:50,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-023,Western Transits,#FFA500
WB1 POF,03/06/2026,22:42,03/06/2026,22:51,WB1: POF | Orb: 0.91° | Duration: 9m,9m,WB1-POF-024,Western Transits,#FFA500
WB1 POF,03/07/2026,21:43,03/07/2026,21:52,WB1: POF | Orb: 0.95° | Duration: 9m,9m,WB1-POF-025,Western Transits,#FFA500
WB1 POF,03/08/2026,06:28,03/08/2026,06:32,WB1: POF | Orb: 0.83° | Duration: 4m,4m,WB1-POF-026,Western Transits,#FFA500
WB1 POF,03/08/2026,21:45,03/08/2026,21:54,WB1: POF | Orb: 1.00° | Duration: 9m,9m,WB1-POF-027,Western Transits,#FFA500
WB1 POF,03/09/2026,06:52,03/09/2026,06:56,WB1: POF | Orb: 0.94° | Duration: 4m,4m,WB1-POF-028,Western Transits,#FFA500
WB1 POF,03/09/2026,20:49,03/09/2026,20:57,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-029,Western Transits,#FFA500
WB1 POF,03/10/2026,07:15,03/10/2026,07:19,WB1: POF | Orb: 0.71° | Duration: 4m,4m,WB1-POF-030,Western Transits,#FFA500
WB1 POF,03/10/2026,19:52,03/10/2026,20:01,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-031,Western Transits,#FFA500
WB1 POF,03/11/2026,07:36,03/11/2026,07:40,WB1: POF | Orb: 0.95° | Duration: 4m,4m,WB1-POF-032,Western Transits,#FFA500
WB1 POF,03/11/2026,18:55,03/11/2026,19:04,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-033,Western Transits,#FFA500
