Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,04/06/2026,20:52,04/06/2026,21:00,WB1: POF | Orb: 0.79° | Duration: 8m,8m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,04/07/2026,19:59,04/07/2026,20:07,WB1: POF | Orb: 0.92° | Duration: 8m,8m,WB1-POF-002,Western Transits,#FFA500
WB1 POF,04/08/2026,19:07,04/08/2026,19:15,WB1: POF | Orb: 0.90° | Duration: 8m,8m,WB1-POF-003,Western Transits,#FFA500
WB1 POF,04/09/2026,18:15,04/09/2026,18:23,WB1: POF | Orb: 0.87° | Duration: 8m,8m,WB1-POF-004,Western Transits,#FFA500
WB1 POF,04/10/2026,06:10,04/10/2026,06:15,WB1: POF | Orb: 0.88° | Duration: 5m,5m,WB1-POF-005,Western Transits,#FFA500
WB1 POF,04/11/2026,06:38,04/11/2026,06:43,WB1: POF | Orb: 0.89° | Duration: 5m,5m,WB1-POF-006,Western Transits,#FFA500
WB1 POF,04/12/2026,07:08,04/12/2026,07:13,WB1: POF | Orb: 0.77° | Duration: 5m,5m,WB1-POF-007,Western Transits,#FFA500
WB1 POF,04/13/2026,07:40,04/13/2026,07:46,WB1: POF | Orb: 0.92° | Duration: 6m,6m,WB1-POF-008,Western Transits,#FFA500
WB1 POF,04/14/2026,08:17,04/14/2026,08:23,WB1: POF | Orb: 0.78° | Duration: 6m,6m,WB1-POF-009,Western Transits,#FFA500
WB1 POF,04/15/2026,08:59,04/15/2026,09:05,WB1: POF | Orb: 0.77° | Duration: 6m,6m,WB1-POF-010,Western Transits,#FFA500
WB1 POF,04/16/2026,09:47,04/16/2026,09:54,WB1: POF | Orb: 0.87° | Duration: 7m,7m,WB1-POF-011,Western Transits,#FFA500
WB1 TRANSIT_YOGI,04/16/2026,13:10,04/16/2026,16:15,WB1: TRANSIT_YOGI | Orb: 1.00° | Duration: 185m,185m,WB1-TRANSIT_YOGI-012,Western Transits,#FFA500
WB1 POF,04/17/2026,10:42,04/17/2026,10:50,WB1: POF | Orb: 0.88° | Duration: 8m,8m,WB1-POF-013,Western Transits,#FFA500
WB1 POF,04/18/2026,11:43,04/18/2026,11:51,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-014,Western Transits,#FFA500
WB1 POF,04/19/2026,12:46,04/19/2026,12:55,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-015,Western Transits,#FFA500
WB1 POF,04/20/2026,13:51,04/20/2026,14:00,WB1: POF | Orb: 0.86° | Duration: 9m,9m,WB1-POF-016,Western Transits,#FFA500
WB1 POF,04/21/2026,14:54,04/21/2026,15:02,WB1: POF | Orb: 0.84° | Duration: 8m,8m,WB1-POF-017,Western Transits,#FFA500
WB1 POF,04/22/2026,15:54,04/22/2026,16:03,WB1: POF | Orb: 0.93° | Duration: 9m,9m,WB1-POF-018,Western Transits,#FFA500
WB1 MOON,04/23/2026,01:35,04/23/2026,04:59,WB1: MOON | Orb: 0.99° | Duration: 204m,204m,WB1-MOON-019,Western Transits,#FFA500
WB1 POF,04/23/2026,05:37,04/23/2026,05:42,WB1: POF | Orb: 0.98° | Duration: 5m,5m,WB1-POF-020,Western Transits,#FFA500
